epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,1.6562558823394775,0.4063,1.382962961769104,0.5093,0.001,20.214285850524902
2,1.4439944318771363,0.48612,1.2837064311981201,0.5442,0.001,18.168978452682495
3,1.3625501232528687,0.51776,1.213727938079834,0.5778,0.001,18.711873054504395
4,1.3064253835678101,0.53996,1.1410675765991212,0.6085,0.001,18.432147979736328
5,1.262731769180298,0.56156,1.1324156934738159,0.6057,0.001,18.100545406341553
6,1.2311391828155518,0.56924,1.084740544128418,0.6242,0.001,26.90764021873474
7,1.2112901386260986,0.57432,1.0887564039230346,0.616,0.001,18.65947914123535
8,1.1972220949935912,0.5806,1.0876392150878906,0.6231,0.001,18.35962152481079
9,1.1788982266998291,0.58734,1.0423431778907777,0.6424,0.001,18.92979335784912
10,1.1643999591255187,0.59362,1.0393011623382569,0.6389,0.001,19.96690797805786
11,1.16061586353302,0.5963,1.0239656093597411,0.6442,0.001,19.164244890213013
12,1.1436632849121093,0.60206,1.009923735141754,0.6516,0.001,18.234460830688477
13,1.1403236626815796,0.60328,1.0056005793571472,0.6588,0.001,19.38968586921692
14,1.1304144300842285,0.60646,1.021018059158325,0.6442,0.001,18.435922861099243
15,1.1265532694244385,0.60794,1.0003918603897095,0.6562,0.001,19.817610502243042
